,
Weighted GPA ,
Min. ,1.25
Max.,4.95
Mean,3.808
Median,3.86
S.D.,0.48
SAT 1 Verbal  ,
Min. ,200
Max.,800
Mean,578.2
Median,580
S.D.,100.24
SAT 1 Math  ,
Min. ,220
Max.,800
Mean,619.5
Median,630
S.D.,98.47
Income  ,
Min. ,120
Max.,99999
Mean,62944
Median,65000
S.D.,32790.59
Admitted (%),31.17
Male (%),45.55
Race/Ethnicity (%),
White,33.33
Asian,45.43
Black,4.31
Some Other Race,16.93
N,6175
