Final Model Confusion Table,,,
,Reject predicted,Admit predicted,Model error
Reject,1537,560,0.27
Admit,109,882,0.11
Use error,0.07,0.39,0.25*
Note. Final Forest Grown in Test data (n=3088) ,,,
 * Overall error,,,
