,,,,
Sex (%),,,,
,Reject,Admit,Total,n
Female,68,32,100,3362
Male,70,30,100,2813
Total,69,31,100,6175
Race/Ethnicity (%),,,,
Other ,74,26,100,1046
White,67,33,100,2058
Asian,68,32,100,2805
Black,73,27,100,266
Total,69,31,100,6175
Note. Percentaged so independent variables sum to 100.,,,,
